真实宽度_True,预测宽度_DBN
1287.62,1269.8901176967113
1276.76,1272.4728279736667
1214.07,1220.9980000025341
1018.98,1025.9356648167293
990.78,999.2759629877348
1253.96,1270.5282133703083
1166.03,1162.951792257075
1287.07,1291.9999353948303
1309.22,1289.6197038061225
1191.1,1208.9343236355198
984.63,1033.226960314565
1287.7,1286.5563690005174
1484.33,1490.3855094950409
1289.21,1283.5367948679639
1416.7,1397.7318248009128
1447.38,1447.0872911029753
1441.24,1439.2024048302333
1547.5,1580.4051287097054
1376.64,1369.567724811751
985.14,973.8548528461521
1243.33,1239.0073564667728
1367.41,1371.3371028455092
1232.23,1223.9068240774054
1542.36,1569.279099086745
1431.94,1435.8564596589647
1192.25,1187.4470840141776
1548.88,1547.6699369426492
1650.46,1635.4917632562435
1361.81,1366.8930837837506
1210.74,1209.2785666821821
1616.14,1618.3820100181981
1287.93,1288.300343902827
1325.8,1316.0831547926032
991.77,991.8402168407968
1560.33,1561.3879531337327
1282.33,1294.777513299489
1546.17,1550.4509629350987
1056.49,1057.2668396088425
1304.71,1330.5868427657467
1294.95,1298.0759592095717
1191.92,1188.7322969961651
1342.59,1336.8716422692582
1323.34,1320.9377604604124
1681.88,1687.7107380047473
1558.46,1564.0896797415196
1426.94,1414.6573584076075
1301.5,1301.4351604271658
1273.24,1275.608270340582
1183.85,1183.0159579832875
1041.92,1101.7874454656762
1316.92,1325.5214284494934
1355.18,1356.8117828159434
1554.5,1561.3908177358003
1353.1,1360.0553174487534
1243.16,1243.2323327282672
1362.93,1358.5515582447706
1047.21,1041.8211114946519
1300.6,1302.5180930563793
1646.21,1624.4199912453462
1410.66,1408.9453625269969
1156.78,1152.6857084915778
1139.12,1120.283580094686
1310.38,1318.6117636331223
1556.71,1560.8791111053563
1157.33,1148.1479327475831
1256.6,1251.9254608102153
1432.82,1432.9120241530989
946.45,944.4965064001165
1018.05,1021.8900345564242
1277.95,1258.5760589098652
1429.36,1442.9148464846598
1500.48,1500.0952727772572
1410.58,1400.2359162980686
1535.16,1538.1333117057195
1048.78,1047.0213101678512
1311.83,1310.2793465101092
1282.55,1287.7846907011642
1017.29,1019.0842379579847
1273.5,1274.0210594670532
1349.73,1366.4190527350474
1103.23,1103.5640831743433
1303.6,1313.449357944286
1110.67,1104.2043405830618
1325.61,1326.0149170769816
1464.95,1465.0940472020159
1065.89,1050.6855376267167
1187.41,1176.9430693612348
1392.41,1385.0905609773754
1118.83,1087.7622258557415
1294.0,1286.7097994800065
1304.41,1309.9285904058854
1371.16,1368.3797508531732
1283.71,1282.4541335907645
1447.15,1446.8034839538661
1543.16,1543.258499979887
1454.72,1459.8599842758272
1257.64,1252.1207080646732
1394.39,1369.5553774142916
1448.29,1439.369493059348
1253.85,1254.6657223952075
1475.96,1482.9662651075391
1560.53,1587.773467134209
1193.41,1178.4065075146589
1018.97,1019.9587081254238
1339.98,1330.0900855499983
1549.52,1569.6495437838844
1413.62,1398.2046509165093
1205.01,1199.9068517324908
1159.89,1149.4538403218946
1354.24,1357.4024146585782
1323.25,1312.988409773214
1313.9,1315.8027863186123
1249.94,1256.9776354320502
1741.26,1745.4791130919407
1369.24,1366.5386021097656
1014.93,1012.0695042825489
1394.57,1377.6960657786865
1292.33,1280.356890380871
1053.72,1035.7051557566851
1750.12,1748.276225157793
1349.83,1355.746842017445
1151.4,1158.6198834838858
951.38,958.380958873606
1789.29,1786.1912081853206
1285.71,1282.8376371868499
1675.86,1686.8623863332195
1289.06,1291.2440337217365
1200.74,1190.471510796552
1470.21,1454.9705756823773
1290.93,1293.7422557901966
1446.41,1433.631826513937
1190.23,1183.7039928236004
1239.41,1248.0718415901417
1288.3,1282.686476187144
1083.5,1089.7786104798515
1328.03,1318.776672670515
1049.14,1038.6347335158903
1563.26,1535.9705446066523
1312.98,1311.0914612610982
1055.01,1049.6869163172532
1746.84,1742.7692798038056
1371.28,1378.6577057524587
1177.0,1171.536218892539
1395.17,1399.3647013386933
1048.33,1040.8231278798119
942.99,936.1469665822058
1312.09,1320.1841886566401
1564.07,1560.0357699731096
1357.94,1340.0654936779604
1291.14,1281.6034815233845
1748.98,1752.6269750845047
1303.88,1301.3834317816002
1307.04,1306.3279090438402
1238.49,1241.868713681583
1253.45,1251.5422216935974
1181.75,1149.9728965645904
1157.64,1151.6052116824815
1271.64,1274.7269620668017
