真实宽度_True,预测宽度_LightGBM
1650.46,1646.42468078826
1361.81,1339.501677749401
1210.74,1210.5454010984388
1616.14,1619.6888713310639
1287.93,1288.3739772890642
1325.8,1323.957982630113
991.77,992.0180320407526
1560.33,1557.262041832437
1282.33,1292.4204785049603
1546.17,1545.4897206048531
1056.49,1055.156742713031
1304.71,1295.8180858525818
1294.95,1296.344344615408
1191.92,1191.3784598464754
1342.59,1349.943444081566
1323.34,1320.3744557734092
1681.88,1681.9414682119113
1558.46,1561.8576154802386
1426.94,1424.6189143347715
1301.5,1300.9053175582746
1273.24,1276.3783749161387
1183.85,1180.7084305372136
1041.92,1077.5369353600804
1316.92,1313.3294080045114
1355.18,1363.5153202574747
1554.5,1557.3122969038945
1353.1,1354.0571057248228
1243.16,1246.875007305657
1362.93,1363.5982624841886
1047.21,1047.5051725771436
1300.6,1299.8424712920933
1646.21,1644.4472642278429
1410.66,1410.4992769921673
1156.78,1156.7125679150017
1139.12,1159.886139635419
1310.38,1312.1736950132026
1556.71,1558.0176667432922
1157.33,1156.7146188692882
1256.6,1258.9458926054738
1432.82,1429.1243590880122
946.45,946.9682367086169
1018.05,1014.9075723533003
1277.95,1277.6686804694452
1429.36,1443.2602006008183
1500.48,1511.4194522490163
1410.58,1412.6803455730997
1535.16,1528.990873502761
1048.78,1045.589752171922
1311.83,1316.8577398542923
1282.55,1281.8574789872164
1017.29,1012.7386038823298
1273.5,1274.7763580794574
1349.73,1346.6290514568827
1103.23,1106.122567265603
1303.6,1304.0840826825329
1110.67,1108.2546936788215
1325.61,1324.0195369466996
1464.95,1464.774376930948
1065.89,1066.7336530444413
1187.41,1188.701095754195
1392.41,1397.3749752240367
1118.83,1108.7898303468278
1294.0,1294.0641275290811
1304.41,1305.731605979698
1371.16,1373.7462111743675
1283.71,1280.9459761314201
1447.15,1444.40098429625
1543.16,1539.8764168798775
1454.72,1457.763342413067
1257.64,1259.1431397838624
1394.39,1384.4184941351261
1448.29,1456.7773839374324
1253.85,1249.8931302940825
1475.96,1482.7995084075453
1560.53,1561.2857228840755
1193.41,1191.383786277964
1018.97,1012.41870070488
1339.98,1341.8943785836352
1549.52,1553.9127769734807
1413.62,1404.7197025689957
1205.01,1202.3875674256342
1159.89,1161.320482390359
1354.24,1361.6989712015936
1323.25,1324.8623930281803
1313.9,1314.6831737897226
1249.94,1251.7630237263866
1741.26,1742.8773144880238
1369.24,1379.541610834763
1014.93,1013.4387791003653
1394.57,1391.7371213520994
1292.33,1292.5825374352512
1053.72,1054.0871996988994
1750.12,1746.7794606226882
1349.83,1346.2186689633807
1151.4,1155.5600430188908
951.38,960.1545727280239
1789.29,1814.8433552909567
1285.71,1287.2497650760515
1675.86,1677.3811815429272
1289.06,1290.026618063606
1200.74,1202.748627496756
1470.21,1455.2876773824587
1290.93,1289.992678543373
1446.41,1450.1412320329746
1190.23,1192.785116768887
1239.41,1240.4986668041263
1288.3,1286.4273872551084
1083.5,1088.876581999065
1328.03,1321.105659415895
1049.14,1042.9569526240577
1563.26,1563.3091148096462
1312.98,1306.2270362856732
1055.01,1055.8084101649874
1746.84,1743.6291193058912
1371.28,1373.1453461663023
1177.0,1175.909646354038
1395.17,1399.8688048864856
1048.33,1052.0297890094773
942.99,944.0132895931503
1312.09,1302.3767397037636
1564.07,1581.2987833246334
1357.94,1358.8501664084708
1291.14,1295.9422487238926
1748.98,1747.3926974920362
1303.88,1293.9493750980473
1307.04,1281.460685953741
1238.49,1230.875733568465
1253.45,1252.692441844135
1181.75,1191.441395523158
1157.64,1156.6013062708932
1271.64,1267.5195676120159
1054.75,1054.2385515859132
1138.37,1142.085035416745
1312.6,1312.04775090819
1285.01,1287.8143161673665
1272.73,1271.8419201279355
1678.82,1676.242435719124
1193.82,1187.6998123275623
974.33,978.0479857228595
1287.79,1286.746912863509
1534.9,1535.028556237214
1049.72,1041.8425020572781
1303.55,1306.6764057482753
1300.92,1301.462506190604
1353.47,1352.2391521541422
1108.35,1108.348846741489
1412.19,1411.281867257444
990.24,988.534202173219
1243.4,1243.9622388163257
1033.84,1107.345360138144
1193.52,1193.8705071733143
1054.89,1056.6644259081083
1179.58,1176.5418363841814
1103.94,1097.7093376199582
1230.92,1232.9939319244734
1539.72,1537.3591419619638
1284.0,1285.201133513962
1169.5,1173.5606185857412
1273.62,1271.162457574587
1340.26,1331.6052188973504
1321.06,1322.0626784883264
1159.08,1157.5313896530604
1362.45,1341.9472924635265
1188.06,1187.1572536363815
1075.82,1079.4617674231026
1286.46,1284.3231486225898
975.94,982.5213538368366
1539.29,1538.218615552049
1284.18,1287.8781942318763
1289.0,1292.4957227544976
1184.94,1185.3180461463776
1159.86,1155.186013282239
1261.94,1259.5832893950492
1286.11,1288.0674773836015
1529.89,1507.5014702294764
1420.19,1427.2603073672012
1582.32,1597.7311558301787
1432.34,1426.4084435486664
1499.13,1510.255558121825
1376.55,1370.8846598276857
1127.77,1114.1877639374898
1404.42,1405.2879151589152
