y_test,y_pred,true_width,pred_width,abs_error
1272.17,1266.436783693435,1272.17,1266.436783693435,5.733216306565055
947.12,945.8587363524605,947.12,945.8587363524605,1.261263647539522
1431.2,1433.0981806845757,1431.2,1433.0981806845757,1.8981806845756637
935.3,933.9085288229517,935.3,933.9085288229517,1.3914711770482882
1236.2,1233.7714064754114,1236.2,1233.7714064754114,2.4285935245886776
1078.49,1080.5761866133269,1078.49,1080.5761866133269,2.086186613326845
1341.16,1342.9533350970046,1341.16,1342.9533350970046,1.7933350970045012
1432.46,1433.5048863818456,1432.46,1433.5048863818456,1.044886381845572
1340.7,1340.126059773664,1340.7,1340.126059773664,0.5739402263359352
1500.94,1500.7756818111375,1500.94,1500.7756818111375,0.16431818886258043
1254.41,1254.3442021185301,1254.41,1254.3442021185301,0.0657978814699618
1261.89,1260.2103701174358,1261.89,1260.2103701174358,1.6796298825643134
1340.37,1340.9891635758784,1340.37,1340.9891635758784,0.6191635758784741
1690.66,1691.128630884181,1690.66,1691.128630884181,0.46863088418081134
958.12,962.600009607908,958.12,962.600009607908,4.480009607907959
941.37,940.8028975398203,941.37,940.8028975398203,0.5671024601797399
1549.52,1553.0236772635299,1549.52,1553.0236772635299,3.5036772635298803
1256.81,1258.6256260028913,1256.81,1258.6256260028913,1.8156260028913493
1185.28,1188.2144078481988,1185.28,1188.2144078481988,2.9344078481988163
1015.06,1007.6500403596674,1015.06,1007.6500403596674,7.409959640332545
1666.36,1669.9492987410267,1666.36,1669.9492987410267,3.5892987410268233
1492.23,1492.2011412856914,1492.23,1492.2011412856914,0.028858714308626077
1317.04,1315.1536496676667,1317.04,1315.1536496676667,1.8863503323332225
1311.15,1315.2419669971482,1311.15,1315.2419669971482,4.09196699714812
1547.3,1543.295727035756,1547.3,1543.295727035756,4.00427296424391
1308.68,1308.6490866189542,1308.68,1308.6490866189542,0.030913381045820643
945.67,944.8727140438132,945.67,944.8727140438132,0.7972859561867836
1289.72,1288.1542485743514,1289.72,1288.1542485743514,1.5657514256486138
967.91,969.8821090761178,967.91,969.8821090761178,1.9721090761178175
1615.0,1611.691035436183,1615.0,1611.691035436183,3.3089645638169713
1354.03,1354.814303067878,1354.03,1354.814303067878,0.7843030678779996
1256.06,1256.3670768812804,1256.06,1256.3670768812804,0.307076881280409
1287.33,1288.67422615924,1287.33,1288.67422615924,1.3442261592401792
1083.91,1086.6724517979192,1083.91,1086.6724517979192,2.762451797919084
1284.67,1281.9729650233694,1284.67,1281.9729650233694,2.6970349766306754
1257.95,1249.0682489856201,1257.95,1249.0682489856201,8.881751014379915
1746.73,1745.83366122967,1746.73,1745.83366122967,0.8963387703299759
1285.8,1289.5101375356603,1285.8,1289.5101375356603,3.710137535660351
1246.82,1242.7653617424069,1246.82,1242.7653617424069,4.054638257593069
958.58,955.3767346738937,958.58,955.3767346738937,3.2032653261063615
1402.9,1395.6647308804772,1402.9,1395.6647308804772,7.2352691195228545
1080.37,1084.6554478324701,1080.37,1084.6554478324701,4.285447832470254
1017.22,1017.7121024799368,1017.22,1017.7121024799368,0.4921024799367615
1480.14,1484.827158364537,1480.14,1484.827158364537,4.687158364536799
1469.39,1475.9151548817795,1469.39,1475.9151548817795,6.525154881779372
1836.17,1838.4677530464382,1836.17,1838.4677530464382,2.2977530464381744
1156.78,1160.4313228241358,1156.78,1160.4313228241358,3.651322824135832
1276.62,1276.6644989893375,1276.62,1276.6644989893375,0.04449898933762597
1486.9,1483.3181375862923,1486.9,1483.3181375862923,3.5818624137077677
1492.64,1493.381780153769,1492.64,1493.381780153769,0.7417801537687865
1287.04,1287.4635215666767,1287.04,1287.4635215666767,0.42352156667675445
1290.1,1290.5569156989654,1290.1,1290.5569156989654,0.4569156989655312
1272.49,1275.262662266428,1272.49,1275.262662266428,2.772662266427915
1186.9,1187.799359350581,1186.9,1187.799359350581,0.8993593505808803
1282.76,1290.0986877251216,1282.76,1290.0986877251216,7.338687725121645
1746.11,1748.1958532121198,1746.11,1748.1958532121198,2.0858532121199005
939.45,937.6531814736745,939.45,937.6531814736745,1.7968185263255236
1152.75,1153.4415351725625,1152.75,1153.4415351725625,0.6915351725624532
1234.54,1235.0381919395318,1234.54,1235.0381919395318,0.4981919395318073
1310.59,1313.5573238309505,1310.59,1313.5573238309505,2.9673238309505905
1325.38,1326.4735282118154,1325.38,1326.4735282118154,1.0935282118152827
1099.5,1090.5374077920844,1099.5,1090.5374077920844,8.962592207915577
1719.14,1706.8409571062316,1719.14,1706.8409571062316,12.299042893768501
1271.96,1265.067402547791,1271.96,1265.067402547791,6.892597452208975
1793.75,1799.4718601393083,1793.75,1799.4718601393083,5.721860139308319
1324.17,1321.3693352633466,1324.17,1321.3693352633466,2.8006647366535162
1220.09,1223.6984286943916,1220.09,1223.6984286943916,3.608428694391705
1356.27,1358.6733239899368,1356.27,1358.6733239899368,2.40332398993678
1357.31,1354.9989895975646,1357.31,1354.9989895975646,2.311010402435386
1302.63,1303.176252239051,1302.63,1303.176252239051,0.5462522390510003
1089.82,1088.5116810314955,1089.82,1088.5116810314955,1.308318968504409
1292.78,1293.1760664657309,1292.78,1293.1760664657309,0.39606646573088256
1332.91,1334.289055578852,1332.91,1334.289055578852,1.379055578851876
1547.5,1546.6847411375397,1547.5,1546.6847411375397,0.8152588624602686
1303.18,1295.594973440823,1303.18,1295.594973440823,7.585026559177095
1410.53,1409.4153298509973,1410.53,1409.4153298509973,1.1146701490026771
1287.62,1288.2197784977457,1287.62,1288.2197784977457,0.5997784977457741
1276.76,1277.388263474563,1276.76,1277.388263474563,0.6282634745630276
1214.07,1217.9105384974705,1214.07,1217.9105384974705,3.840538497470561
1018.98,1028.1375257546922,1018.98,1028.1375257546922,9.157525754692188
990.78,990.5687989190876,990.78,990.5687989190876,0.21120108091236034
1253.96,1249.128675795123,1253.96,1249.128675795123,4.831324204877092
1166.03,1169.538892129349,1166.03,1169.538892129349,3.5088921293490785
1287.07,1283.0741986095113,1287.07,1283.0741986095113,3.995801390488623
1309.22,1306.489382661291,1309.22,1306.489382661291,2.730617338708953
1191.1,1188.4038941725987,1191.1,1188.4038941725987,2.6961058274011975
984.63,978.5249616855297,984.63,978.5249616855297,6.105038314470335
1287.7,1288.2802487030267,1287.7,1288.2802487030267,0.5802487030266548
1484.33,1486.7890787012352,1484.33,1486.7890787012352,2.459078701235285
1289.21,1291.6736865882633,1289.21,1291.6736865882633,2.463686588263272
1416.7,1412.3610132520157,1416.7,1412.3610132520157,4.338986747984336
1447.38,1452.3266882432072,1447.38,1452.3266882432072,4.946688243207063
1441.24,1439.7393789071439,1441.24,1439.7393789071439,1.5006210928561359
1547.5,1550.7859683156034,1547.5,1550.7859683156034,3.2859683156034407
1376.64,1376.1241587796098,1376.64,1376.1241587796098,0.5158412203902571
985.14,984.3499257982792,985.14,984.3499257982792,0.7900742017208131
1243.33,1243.1952765136248,1243.33,1243.1952765136248,0.13472348637515097
1367.41,1369.5979466346598,1367.41,1369.5979466346598,2.1879466346597383
1232.23,1230.9068573699815,1232.23,1230.9068573699815,1.3231426300185376
1542.36,1545.2132913423548,1542.36,1545.2132913423548,2.8532913423548507
1431.94,1435.9401273776489,1431.94,1435.9401273776489,4.000127377648823
1192.25,1198.0864901453267,1192.25,1198.0864901453267,5.836490145326707
1548.88,1541.4449641766787,1548.88,1541.4449641766787,7.435035823321414
1650.46,1647.7830275109854,1650.46,1647.7830275109854,2.676972489014588
1361.81,1350.9012607393515,1361.81,1350.9012607393515,10.908739260648417
1210.74,1214.424245927306,1210.74,1214.424245927306,3.6842459273059376
1616.14,1613.7209960763305,1616.14,1613.7209960763305,2.4190039236696066
1287.93,1290.4337597349418,1287.93,1290.4337597349418,2.5037597349416956
1325.8,1324.1749128409583,1325.8,1324.1749128409583,1.625087159041641
991.77,992.6308290994982,991.77,992.6308290994982,0.8608290994982326
1560.33,1558.5640231352309,1560.33,1558.5640231352309,1.7659768647690726
1282.33,1280.4796836245728,1282.33,1280.4796836245728,1.8503163754271554
1546.17,1544.8786936721144,1546.17,1544.8786936721144,1.2913063278856498
1056.49,1055.6654611553313,1056.49,1055.6654611553313,0.824538844668723
1304.71,1305.2070958599888,1304.71,1305.2070958599888,0.49709585998880357
1294.95,1294.8322989160497,1294.95,1294.8322989160497,0.11770108395035095
1191.92,1192.229313605701,1191.92,1192.229313605701,0.309313605700936
1342.59,1339.9350364741226,1342.59,1339.9350364741226,2.6549635258772923
1323.34,1321.733143147756,1323.34,1321.733143147756,1.6068568522439364
1681.88,1682.3677908501418,1681.88,1682.3677908501418,0.4877908501416641
1558.46,1557.5035953377082,1558.46,1557.5035953377082,0.9564046622917886
1426.94,1427.5088345202498,1426.94,1427.5088345202498,0.5688345202497658
1301.5,1300.3114968101654,1301.5,1300.3114968101654,1.1885031898345915
1273.24,1276.2507776350403,1273.24,1276.2507776350403,3.010777635040313
1183.85,1183.0165988738306,1183.85,1183.0165988738306,0.8334011261692922
1041.92,1034.8738418742291,1041.92,1034.8738418742291,7.046158125770944
1316.92,1317.347506802796,1316.92,1317.347506802796,0.42750680279596054
1355.18,1356.0309982801173,1355.18,1356.0309982801173,0.85099828011721
1554.5,1555.624259896746,1554.5,1555.624259896746,1.1242598967460253
1353.1,1355.332706539341,1353.1,1355.332706539341,2.232706539341052
1243.16,1242.1047955217323,1243.16,1242.1047955217323,1.0552044782677967
1362.93,1362.3441124307897,1362.93,1362.3441124307897,0.5858875692103993
1047.21,1045.8780713134354,1047.21,1045.8780713134354,1.3319286865646518
1300.6,1304.493804735553,1300.6,1304.493804735553,3.8938047355532035
1646.21,1634.667419436329,1646.21,1634.667419436329,11.542580563670981
1410.66,1409.262341617954,1410.66,1409.262341617954,1.3976583820460746
1156.78,1159.2584772731002,1156.78,1159.2584772731002,2.478477273100225
1139.12,1144.0226730322868,1139.12,1144.0226730322868,4.902673032286884
1310.38,1312.404291411781,1310.38,1312.404291411781,2.0242914117809505
1556.71,1555.8515308685364,1556.71,1555.8515308685364,0.8584691314636075
